序号,英语,汉语
200,Sofitel,索菲特
201,Ibis,宜必思
202,Stanford,斯坦福
203,lingshan,灵山
204,Yunnan,云南
205,Libyans,利比亚人
206,Warner,沃尔纳
207,WalMart,沃尔玛
208,Heidegger,海德格尔
209,Tang's,唐人
210,Leslie,莱斯利
211,Xi'an,西安
212,Cagliari,卡利亚里
213,Ouspensky,邬斯宾斯
214,multimedia,多媒体
215,Mawei,马尾
216,Carver,卡弗
217,Mettler,梅特勒
218,Tang,唐
219,Junshu,董君舒
220,LONDON,伦敦
221,Ladakh,拉达克
222,Chengdu,成都
223,Steven,史蒂文
224,Pinker’s,平克
225,Pharisees,法利赛
226,Luoping,罗平
227,Jemima,杰迈玛
228,Barnes,巴恩思
229,Nolan,诺兰
230,Yunnan,南亚
231,Lippman,李普曼
232,Lisu,傈僳族
233,Mogan,摩根
234,Capello,卡佩罗
235,Nicholas,尼古拉斯
236,Jiangdu,江都
237,Michael,迈克尔
238,Wendy,温迪
239,Nantah,南大
240,Maliki,马利基
241,Longriba,龙日坝
242,Austen,奥斯汀
243,Dylan,迪兰
244,Lisa,莉萨
245,Stiller,斯蒂勒
246,Arghandab,阿尔甘达布
247,Reagan,里根
248,Cusco,库斯科
249,Mesut,梅苏
250,Han,汉
251,Baidu,百度
252,Sina,新浪
253,Sohu,搜狐
254,Xishan,锡山市
255,Pittsburgh,匹兹堡
256,Maserati,玛莎拉蒂
257,Aston,阿斯顿
258,Luanhe,滦河
259,Washington,华盛顿大学
260,Benayoun,贝纳永
261,Dynamo,迪纳摩
262,Berbatov,巴托夫
263,Tanlu,郯庐
264,Venezuela,委内瑞拉
265,Qifang,何其芳
266,Douglas,道格拉斯
267,Reagan,雷根
268,Clinton,柯林顿
269,servo,伺服
270,Yixin,益心
271,typhoon,台风
272,Eddie,艾迪
273,Lijiang,丽江
274,Turkmenistan,土库曼斯坦
275,Xinhua,新华社
276,Morgan,摩根
277,Clark,克拉克
278,Turing,图灵
279,Berlusconi,贝卢斯科尼
280,Ohio,俄亥俄州
281,Ghibli,吉卜力
282,ouyang,欧阳
283,Williams,威廉姆斯
284,Sam,萨姆
285,Sneijder,斯内德
286,Gwadar,瓜达尔
287,Anjouan,昂儒昂
288,Hongwei,宏威
289,Hamming,汉明
290,Minneapolis,明尼阿波利斯
291,Taiping,太平
292,Yihezhuang,义和庄
293,Guantao,馆陶
294,Duncan,邓肯
295,Beifa,贝发
296,Huntington,亨廷顿
297,Flood,弗拉德
298,Didion,迪迪翁
299,Sanyuanli,三元里
300,Huanghuagang,黄花岗
301,Baiyun,白云山
302,Xintianyou,信天游
303,Ishii,石井
304,Newt,纽特
305,Nanan,南岸区
306,Pennington,彭宁顿
307,WuPing,伍苹
308,Benjamite,（便）雅悯（人）
309,Guangdong,广东
310,Sanda,散打
311,Donetsk,顿涅茨克
312,Shenyang,沈阳
313,Beijing's,北京
314,Sendai,仙台
315,Mandela,曼德拉
316,nandrolone,南诺龙
317,renminbi,人民币
318,Katy,凯蒂
319,Moussavi,穆萨维
320,Tahiti,塔希提
321,Polynesia,法属波利尼西亚
322,Pelosi,佩洛西
323,Saima,赛马
324,Nanjing,南京
325,Meizhou,梅州
326,signalling,信令
327,Charlie,查理
328,Jiahu,贾湖
329,Boston,波斯顿
330,Abdul,阿卜杜勒
331,Lishen,力神
332,Titanic,泰坦尼克号
333,Bobbie's,博比
334,Badaling,八达岭
335,Hebang,禾邦
336,Yangzhou,扬州
337,Stern,斯特恩
338,Shenzhen,深圳市
339,Daming,大明
340,Texas,德克萨斯
341,Junwei,军卫
342,Wembley,温布利
343,Mancini’s,曼奇尼
344,Yangshang,洋山港
345,Shenzhou,神州
346,Benitez,贝尼特
347,Wuzhou,梧州
348,Palmer,帕默
349,Spitzer,斯皮策
350,Helios,赫利
351,Nick,尼克
352,Xiaogan,孝感
353,Brooklyn,布鲁克林
354,Cannings,坎宁
355,Darcy,达西
356,Kunming,昆明
357,Ogden,奥格登
358,Marcus,马克斯
359,Philip,菲利普
360,Sanxingdui,三星堆
361,Shangguan,上官
362,Saleh,萨利赫
363,Saudis,沙特
364,Cantona,坎通纳
365,Mubarak's,穆巴拉克
366,Mihalovna,米哈伊洛夫
367,Peter,彼得
368,Cauto,考托河
369,Recife,累西腓
370,Ollila,奥利拉
371,Stella,斯蒂拉
372,Youhe,游河
373,LeiJinYi,雷锦仪
374,Bamiyan,巴米扬
375,Watson,沃特森
376,Guilin,桂林
377,Grenland,戈朗
378,Omar,奥马尔
379,Gansu,甘肃
380,Ana,安娜
381,Fado,法朵
382,Qifenghu,栖凤
383,Carlos,卡洛斯
384,MOSCOW,莫斯科市
385,Huntington's,亨廷顿
386,Malouda,马卢达
387,tramadol,曲马多
388,Palpatine,帕尔帕廷
389,Morgan,莫根
390,Henan,河南省
391,Hansen,汉森
392,Indian,印度人
393,Rafa,拉法
394,Kelly,凯利
395,Khanna,卡纳
396,Lincang,临沧
397,Henan,河南
398,Wuhan,武汉
399,moclobemide,氯贝胺
400,Kaley,卡蕾
401,warfarin,比华法
402,Wudao,五道
403,Ming,明朝
404,Dongguan,东莞
405,Oliver,奥利弗
406,Phoebe,菲比
407,Qinggan,清肝益
408,Blake,布莱克
409,Leonardo,莱昂纳多
410,Dandong,丹东
411,setting,设定
412,Gypsy,吉普赛
413,Shidao,石岛
414,Bilawal,拉瓦
415,Nusrat,努斯拉特
416,Lufeng,禄丰
417,Yunnan,云南省
418,Arlington,阿灵顿
419,Clinton,克林顿
420,Delhi,新德里
421,Lipu,荔浦
422,Cobain's,科本
423,Hank,汉克
424,hukou,户口
425,Simmons,西蒙斯
426,Johnnie,约翰尼
427,Wuzhen,乌镇
428,Cooper,库珀
429,Milosevic,米洛舍维奇
430,Slim's,斯利姆
431,baizhang,百丈
432,Ward,沃德县
433,Yuanpei,蔡元培
434,Saif,赛义夫
435,Tripoli,的黎波里
436,Hebei,河北
437,Austen's,奥斯汀
438,Casey,凯西
439,Ceylon,锡兰
440,Wenger's,温格
441,Toufen,头份
442,Gongfu,工夫
443,saint,圣人
444,Han,韩
445,Hubble,哈勃
446,Kepler,开普勒
447,Wende,文德
448,Zhenning,杨振宁
449,Yishan,高义山
450,Tianjin,京津
451,Aquinas,阿奎那
452,Shandong,山东
453,Jinan,济南
454,Palermo,帕勒莫
455,Canini,卡尼尼
456,Latin,拉丁语
457,Seville,塞维利亚
458,Nottingham,诺丁汉
459,Latin,拉丁文
460,Guta,古塔
461,Bob,波布
462,Gbowee,古博韦
463,Denali,德纳
464,Harris,哈里斯
465,Adler,德勒
466,Graham,格雷厄姆
467,Wuwei,武威市
468,Duke,杜克
469,Pulis,普利斯
470,Twain,吐温
471,Mankiewicz,曼凯维支
472,Pine,派恩
473,Hebei,河北省
474,Hailaer,海拉尔
475,Pullman,普尔曼
476,Kaka,卡卡
477,Robbins,罗宾斯
478,Hummer’s,悍马
479,Boveri,勃法瑞
480,mum,妈妈
481,Bartok,巴托克
482,Carter,卡特
483,derbies,德比
484,Bali,巴厘岛
485,Steiner,施泰纳
486,Susann,苏珊娜
487,Miley,麦莉
488,Amy,艾米
489,Marco,马可
490,Mingli,刘明礼
491,Shand,山德
492,Community,共同体
493,Gbagbo,巴博
494,Bower,鲍尔
495,Susan,苏珊
496,Sontag,桑塔格
497,Oliver,奥立佛
498,Xintiandi,新天地
499,Webster's,韦伯斯特
500,Shaolin,少林
501,Mubarak,穆巴拉克
502,Dongming,东明
503,Ferguson,弗格森
504,Portsmouth,朴茨茅斯
505,molassic,磨拉石
506,Simitis,西米迪斯
507,Olof,奥洛夫
508,Stephen,史蒂芬
509,Tao,道
510,Heidelberg,海德尔
511,Harvard,哈佛
512,Heyman,但海曼
513,Oden,奥登
514,Rugosa,鲁戈萨
515,Jedi,绝地
516,Yoda,伊达
517,Kaunas,考那斯
518,Falleen,法林人
519,Yinshan,银山
520,Muling,穆棱市
521,Alec,阿莱克
522,Rinke,林克
523,Ruonan,杨若楠
524,Lewis,刘易斯
525,Madeleine,德兰
526,Blank,布兰克
527,mama,妈妈
528,Dickinson,迪金森
529,Kismayo,基斯马尤
530,Pitt,皮特
531,Aniston,安妮斯顿
532,Appalachia,阿巴拉契亚
533,Cod,宼德
534,Michigan,密西根
535,Huanghai,黄海
536,Sihon,西宏
537,Sony,索尼
538,Rice,赖斯
539,Zusanli,足三里
540,Thomas,托玛斯
541,Wenger,温格
542,Yifei,刘亦菲
543,Nile,西尼罗
544,Wodaabe,沃达
545,Munger,芒格
546,Stefan,斯特凡
547,Keshan,克山病
548,Mianning,冕宁
549,Campins,坎平斯
550,Alice,爱丽丝
551,Kafka's,卡夫卡
552,shanghai,上海
553,Guangdong,广东省
554,Mississippi,密西西比州
555,Debussy,德彪西
556,Chang'e,嫦娥
557,Rodian,罗迪亚人
558,Suleiman,苏莱曼
559,Dixon,狄克逊
560,Warren,沃伦
561,Hemingway,海明威
562,Carlo,卡洛
563,Huainan,淮南
564,Ernie,厄尼
565,Addison's,阿狄森
566,BYD,比亚迪
567,Dong,董
568,Leshan,乐山
569,Nancy,南丝
570,Drew,德鲁
571,mom,妈妈
572,Julian,朱利安
573,Riester,里斯特
574,Bennett,贝内特
575,Slough,斯劳
576,Southwark,萨瑟克区
577,Youguang,周有光
578,Keping,柯坪
579,Taihang,太行山
580,Gyeongsang,庆尚
581,Francisco,弗朗西斯科
582,Smith,史密斯
583,Donadoni,纳多尼
584,Jonathan,安德森
585,Barnes,巴恩斯
586,Puntland,彭特兰
587,Elbasan,爱尔巴桑
588,Gansu,甘肃省
589,Mugabe,穆加贝
590,Matthew,马修
591,Carolyn,卡罗琳
592,Lester,莱斯特
593,Siena,锡耶纳
594,Reilly,赖利
595,Juventus's,尤文图斯
596,Bajnai,鲍伊奈
597,Hathaway,哈撒韦
598,Onyango,盎扬戈
599,Manzhouli,满洲里市
600,Olivier,奥利维
601,Tinto,力拓
602,Odadaa,欧达达
603,Peterson,彼德森
604,Rosenberg,罗森博格
605,Hart,哈特
606,Rosenfeld,罗森
607,AlBalawi,巴拉维
608,Moses,梅瑟
609,Linda,琳达
610,Ian,艾恩
611,Omaha,俄玛哈
612,Meiwan,梅湾村
613,Ryan,莱恩
614,Qingming,清明
615,Heilongjiang,黑龙江省
616,mold,模具
617,Jinzhou,锦州
618,Saddam's,萨达姆
619,taizong,太宗
620,Linyi,临猗
621,Anhui,安徽
622,Bryant,布莱恩特
623,Multimedia,多媒体
624,Dodo,渡渡
625,Wenzhou,温州
626,Daliang,大梁
627,Huludao,葫芦岛
628,Wilder,怀尔德
629,Shengli,胜利
630,Italian,意大利政府
631,Sorrento,索伦托
632,Ole,奥立
633,Wayne,韦恩
634,Bongo,邦戈
635,derby,德比
636,Natalie,娜塔莉
637,Portman,波特曼
638,Mom,妈妈
639,guqin,古琴
640,Huawei,华为
641,Wuling,武陵山
642,Ashley,阿什利
643,Lampard,兰帕德
644,Austen’s,奥斯汀
645,Mum,妈妈
646,Eddie,埃迪
647,Luke,路克
648,Cassano,卡萨诺
649,Qinghai,青海
650,Norman,诺曼
651,Mailer's,梅勒
652,Yantai,烟台
653,Lansing's,兰辛市
654,Nannie,南妮
655,Petersburg,圣彼得堡
656,Anyang,安阳
657,Babylon,古巴比伦
658,Bohaiwan,渤海湾
659,Puwei,濮卫
660,Harbin,哈尔滨
661,Vanke,万科
662,Shimen,石门
663,Tivoli,提沃利
664,Kashan,卡尚
665,Bradley,布拉德利
666,Whitney,惠特尼
667,Fudao,富岛
668,Edinburgh,爱丁堡
669,Baikuyao,白裤瑶
670,Nandan,南丹
671,Abdullah,阿卜杜拉
672,Idaho,爱达荷州
673,Caitlin,凯特林
674,Hobbit,霍比特
675,Shanghai's,上海
676,Ganghwado,江华
677,Gul'dan's,古尔丹
678,Nowotny,诺沃特尼
679,Youming,杨优明
680,O'Malley,奥玛雷
681,Luke,卢克
682,Kangma,亢马
683,Palestinian,巴勒斯坦人
684,BEIJING,北京
685,Xinhuanet,新华网
686,Monterrey,蒙特雷
687,Liping,孙力平
688,Taipei,台北
689,Kristian,克里斯蒂安
690,Allen,艾伦
691,Netanyahu,内塔尼亚胡
692,Hainan,海南
693,Mengniu,内蒙古
694,barcelona,巴塞罗纳
695,Xianning,咸宁
696,Hubei,湖北
697,Kyle,凯尔
698,Huaneng,华能
699,Dongfeng,东风
700,Haikou,海口
701,Taoist,道家
702,Harvey,哈维河
703,Billy,比利
704,Semillon,内美洛
705,Saiweni,萨维尼
706,Hanfu,汉服
707,Busan,釜山
708,Wanping,宛平
709,Binyang,宾阳
710,Baishanzu,百山祖
711,Wanping,宛平县
712,Claudius,克劳狄
713,Honolulu,火奴鲁鲁
714,Judy,朱迪
715,Bonera,博内拉
716,Kavan,卡万
717,Ya'an,雅安市
718,Morse,莫氏
719,Chang'an,长安
720,Audi's,奥迪
721,Herbert,赫伯特
722,Dahe,大河
723,burley,白肋烟
724,timpani,定音鼓
725,Potter,鲁伯特
726,Greenland,格陵兰岛
727,Golding,戈尔丁
728,Huntsman,亨茨曼
729,Jiangling,江铃
730,Lehman,雷曼
731,Yunan,云南
732,Pato,帕托
733,Nantong,南通
734,Guomei,国美
735,Suning,苏宁
736,Martinique,马提尼克岛
737,Simon,西门
738,Palestine,巴勒斯坦
739,Arafat,阿拉法
740,Richardson,理查德森
741,Foshan,佛山市
742,Hurley's,赫莉
743,Lingtai,灵台
744,Syngenta,先正达
745,Monsanto's,孟山都
746,Karajan,卡拉扬
747,Lcarnitine,左卡尼汀
748,Dalglish,达格利什
749,Indonesian,印尼
750,Cisco,思科
751,Makinwa,马金娃
752,Mussolini,墨索里尼
753,LanLin,兰临
754,Clay,克雷
755,Berlin,西柏林
756,Istanbul,伊斯坦堡
757,Rebiya,热比娅
