序号,英语,汉语
294,Whitney,惠特尼
295,Edinburgh,爱丁堡
296,Abdullah,阿卜杜拉
297,Idaho,爱达荷州
298,Caitlin,凯特林
299,Shantou,汕头
300,Hobbit,霍比特
301,Youming,杨优明
302,Luke,卢克
303,Taipei,台北
304,Kristian,克里斯蒂安
305,Netanyahu,内塔尼亚胡
306,Hainan,海南
307,Xianning,咸宁
308,Hubei,湖北
309,Dongfeng,东风
310,Haikou,海口
311,Saiweni,萨维尼
312,Hanfu,汉服
313,Binyang,宾阳
314,Claudius,克劳狄
315,Bonera,博内拉
316,Ya'an,雅安市
317,Chang'an,长安
318,Audi's,奥迪
319,Radcliffe,克利夫
320,Golding,戈尔丁
321,Huntsman,亨茨曼
322,Pato,帕托
323,Nantong,南通
324,Simon,西门
325,Arafat,阿拉法
326,Arafat,阿拉法特
327,Lingtai,灵台
328,Syngenta,先正达
329,Monsanto's,孟山都
330,Karajan,卡拉扬
331,Lcarnitine,左卡尼汀
332,Stein,斯泰因
333,Indonesian,印尼
334,Makinwa,马金娃
335,Ruth,露丝
336,LanLin,兰临
